2026-06-13T05:01:29.610Z KuCoin fetch err for NEAR: read ECONNRESET | cause: undefined
2026-06-13T05:01:29.777Z KuCoin fetch err for SUI: read ECONNRESET | cause: undefined
2026-06-13T05:01:30.156Z KuCoin fetch err for LDO: read ECONNRESET | cause: undefined
2026-06-13T05:01:31.155Z KuCoin fetch err for ENA: read ECONNRESET | cause: undefined
2026-06-13T05:01:32.342Z KuCoin fetch err for PYTH: read ECONNRESET | cause: undefined
2026-06-13T05:01:33.128Z KuCoin fetch err for MANA: read ECONNRESET | cause: undefined
2026-06-13T05:01:33.365Z KuCoin fetch err for FLOKI: read ECONNRESET | cause: undefined
2026-06-13T05:01:33.451Z KuCoin fetch err for PEPE: read ECONNRESET | cause: undefined
2026-06-13T05:03:30.770Z KuCoin fetch err for MANA: read ECONNRESET | cause: undefined
2026-06-13T05:03:31.546Z KuCoin fetch err for FTM: read ECONNRESET | cause: undefined
2026-06-13T05:03:32.851Z KuCoin fetch err for JUP: read ECONNRESET | cause: undefined
2026-06-13T05:03:33.559Z KuCoin fetch err for PYTH: read ECONNRESET | cause: undefined
2026-06-13T05:03:33.823Z KuCoin fetch err for SUI: read ECONNRESET | cause: undefined
2026-06-13T05:03:34.290Z KuCoin fetch err for POPCAT: read ECONNRESET | cause: undefined
2026-06-13T05:03:35.203Z KuCoin fetch err for XRP: read ECONNRESET | cause: undefined
2026-06-13T05:03:35.282Z KuCoin fetch err for WLD: read ECONNRESET | cause: undefined
2026-06-13T05:10:06.326Z KuCoin fetch err for APT: read ECONNRESET | cause: undefined
2026-06-13T05:10:07.197Z KuCoin fetch err for OP: read ECONNRESET | cause: undefined
2026-06-13T05:10:07.273Z KuCoin fetch err for BNB: read ECONNRESET | cause: undefined
2026-06-13T05:10:07.787Z KuCoin fetch err for FTM: read ECONNRESET | cause: undefined
2026-06-13T05:10:09.464Z KuCoin fetch err for ORDI: read ECONNRESET | cause: undefined
2026-06-13T05:10:09.469Z KuCoin fetch err for JUP: read ECONNRESET | cause: undefined
2026-06-13T05:10:11.155Z KuCoin fetch err for PEPE: read ECONNRESET | cause: undefined
2026-06-13T05:10:29.054Z KuCoin fetch err for ETH: read ECONNRESET | cause: undefined
2026-06-13T05:10:33.591Z KuCoin fetch err for ALT: read ECONNRESET | cause: undefined
2026-06-13T05:10:43.760Z KuCoin fetch err for TIA: read ECONNRESET | cause: undefined
2026-06-13T05:10:51.972Z KuCoin fetch err for POPCAT: read ECONNRESET | cause: undefined
2026-06-13T05:10:52.587Z KuCoin fetch err for BRETT: read ECONNRESET | cause: undefined
2026-06-13T05:10:52.928Z KuCoin fetch err for SOL: read ECONNRESET | cause: undefined
2026-06-13T05:10:53.272Z KuCoin fetch err for XRP: read ECONNRESET | cause: undefined
2026-06-13T05:10:53.532Z KuCoin fetch err for WLD: read ECONNRESET | cause: undefined
2026-06-13T05:10:53.727Z KuCoin fetch err for BONK: read ECONNRESET | cause: undefined
2026-06-13T05:10:53.767Z KuCoin fetch err for ADA: Request timed out after 9600ms | cause: undefined
2026-06-13T05:15:30.809Z KuCoin fetch err for ENA: read ECONNRESET | cause: undefined
2026-06-13T05:15:30.861Z KuCoin fetch err for ALT: read ECONNRESET | cause: undefined
2026-06-13T05:15:31.409Z KuCoin fetch err for IMX: read ECONNRESET | cause: undefined
2026-06-13T05:15:32.187Z KuCoin fetch err for ORDI: read ECONNRESET | cause: undefined
2026-06-13T05:15:32.258Z KuCoin fetch err for ARB: read ECONNRESET | cause: undefined
2026-06-13T05:15:33.916Z KuCoin fetch err for VIRTUAL: read ECONNRESET | cause: undefined
2026-06-13T05:15:34.686Z KuCoin fetch err for TON: read ECONNRESET | cause: undefined
2026-06-13T05:15:34.691Z KuCoin fetch err for SOL: read ECONNRESET | cause: undefined
